管内エリア,地区名,センター,燃えるごみ,燃えないごみ,プラ容,空ビン,ペットボトル,危険ごみ（乾電池）,危険ごみ（ボンベ等）,アルミ,白色トレー,拠点収集A,拠点収集B,資源物（三雲管内）,資源物（本庁管内）,ダンボール、古着類,新聞紙、雑誌・雑紙、牛乳パック,ペットボトル、蛍光管,白色トレー、アルミ缶、危険ごみ
本庁管内,早馬瀬町,本庁A1,月 木,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,火,20160401 20160506 20160603 20160701 20160805 20160902 20161007 20161104 20161202 20170106 20170203 20170303,,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,,,,,,20160318 20160415 20160520 20160617 20160722 20160819 20160916 20161021 20161118 20161209 20170120 20170217 20170317,,,,
本庁管内,腹太町,本庁A4,月 木,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,金,20160412 20160517 20160614 20160712 20160809 20160913 20161011 20161115 20161213 20170117 20170214 20170314,,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,,,,,,20160322 20160426 20160531 20160628 20160726 20160823 20160927 20161025 20161129 20161227 20170131 20170228 20170328,,,,
本庁管内,日丘町,本庁B4,火 金,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,木,20160328 20160425 20160530 20160627 20160725 20160829 20160926 20161031 20161128 20161226 20170130 20170227 20170327,,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,,,,,,20160411 20160516 20160613 20160711 20160808 20160912 20161017 20161114 20161212 20170123 20170213 20170313,,,,
本庁管内,東町,本庁A4,月 木,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,金,20160412 20160517 20160614 20160712 20160809 20160913 20161011 20161115 20161213 20170117 20170214 20170314,,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,,,,,,20160322 20160426 20160531 20160628 20160726 20160823 20160927 20161025 20161129 20161227 20170131 20170228 20170328,,,,
本庁管内,東久保町,本庁A4,月 木,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,金,20160412 20160517 20160614 20160712 20160809 20160913 20161011 20161115 20161213 20170117 20170214 20170314,,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,,,,,,20160322 20160426 20160531 20160628 20160726 20160823 20160927 20161025 20161129 20161227 20170131 20170228 20170328,,,,
本庁管内,東黒部町奥浜,本庁A4,月 木,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,金,20160412 20160517 20160614 20160712 20160809 20160913 20161011 20161115 20161213 20170117 20170214 20170314,,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,,,,,,20160322 20160426 20160531 20160628 20160726 20160823 20160927 20161025 20161129 20161227 20170131 20170228 20170328,,,,
本庁管内,東黒部町川原,本庁A4,月 木,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,金,20160412 20160517 20160614 20160712 20160809 20160913 20161011 20161115 20161213 20170117 20170214 20170314,,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,,,,,,20160322 20160426 20160531 20160628 20160726 20160823 20160927 20161025 20161129 20161227 20170131 20170228 20170328,,,,
本庁管内,東黒部町東三,本庁A4,月 木,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,金,20160412 20160517 20160614 20160712 20160809 20160913 20161011 20161115 20161213 20170117 20170214 20170314,,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,,,,,,20160322 20160426 20160531 20160628 20160726 20160823 20160927 20161025 20161129 20161227 20170131 20170228 20170328,,,,
本庁管内,東黒部町南出,本庁A4,月 木,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,金,20160412 20160517 20160614 20160712 20160809 20160913 20161011 20161115 20161213 20170117 20170214 20170314,,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,,,,,,20160322 20160426 20160531 20160628 20160726 20160823 20160927 20161025 20161129 20161227 20170131 20170228 20170328,,,,
本庁管内,東黒部町南六,本庁A4,月 木,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,金,20160412 20160517 20160614 20160712 20160809 20160913 20161011 20161115 20161213 20170117 20170214 20170314,,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,,,,,,20160322 20160426 20160531 20160628 20160726 20160823 20160927 20161025 20161129 20161227 20170131 20170228 20170328,,,,
本庁管内,東出,本庁A3,月 木,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,金,20160405 20160510 20160607 20160705 20160802 20160906 20161004 20161101 20161206 20170110 20170207 20170307,,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,,,,,,20160315 20160419 20160524 20160621 20160719 20160816 20160920 20161018 20161122 20161220 20170124 20170221 20170321,,,,
本庁管内,東出西,本庁A3,月 木,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,金,20160405 20160510 20160607 20160705 20160802 20160906 20161004 20161101 20161206 20170110 20170207 20170307,,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,,,,,,20160315 20160419 20160524 20160621 20160719 20160816 20160920 20161018 20161122 20161220 20170124 20170221 20170321,,,,
本庁管内,東出東,本庁A3,月 木,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,金,20160405 20160510 20160607 20160705 20160802 20160906 20161004 20161101 20161206 20170110 20170207 20170307,,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,,,,,,20160315 20160419 20160524 20160621 20160719 20160816 20160920 20161018 20161122 20161220 20170124 20170221 20170321,,,,
本庁管内,東平尾,本庁B3,火 金,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,木,20160321 20160418 20160523 20160620 20160718 20160822 20160919 20161024 20161121 20161219 20170130 20170220 20170320,,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,,,,,,20160404 20160502 20160606 20160704 20160801 20160905 20161003 20161107 20161205 20170116 20170206 20170306,,,,
本庁管内,東松阪町 ,本庁A2,月 木,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,火,20160408 20160513 20160610 20160708 20160812 20160909 20161014 20161111 20161202 20170113 20170210 20170310,,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,,,,,,20160325 20160422 20160527 20160624 20160729 20160826 20160930 20161028 20161125 20161216 20170127 20170224 20170324,,,,
